index,lon,lat,heading,date,foo,bar,baz,receiver,end
1,-118.438793000000004,33.494073000000000,511.000000,Sat Feb 01 12:23:24 PST 2014,1,367097912,"r","11SBARB1",
2,-118.214167000000003,33.611166999999995,187.000000,Sat Feb 01 12:23:24 PST 2014,2,308003408,"r","11SBARB1",
3,-118.278182999999999,33.739833000000004,7.000000,Sat Feb 01 12:23:24 PST 2014,3,366304776,"r","11MXLO1",
4,-118.307552999999999,33.372292999999999,511.000000,Sat Feb 01 12:23:24 PST 2014,4,367800015,"r","11MXLO1",
5,-119.207386999999997,34.147706999999997,511.000000,Sat Feb 01 12:23:24 PST 2014,5,366096799,"r","11HUEN1",
6,-115.418923000000007,27.381074999999996,330.000000,Sat Feb 01 12:23:24 PST 2014,6,211000871,"r","11MXLO1",
7,-119.137167000000005,33.673632999999995,270.000000,Sat Feb 01 12:23:24 PST 2014,7,371002001,"r","11MXLO1",
8,-118.449925000000007,33.908298000000002,73.000000,Sat Feb 01 12:23:24 PST 2014,8,366289043,"r","11ELSE1",
9,-118.192587000000003,33.753767999999994,511.000000,Sat Feb 01 12:23:24 PST 2014,9,367028006,"r","11MXLO1",
10,-118.135391999999996,33.697665000000001,511.000000,Sat Feb 01 12:23:24 PST 2014,10,366003705,"r","11MXLO1",
11,-117.848332999999997,33.065667000000005,329.000000,Sat Feb 01 12:23:24 PST 2014,11,311750002,"r","11SBARB1",
12,-118.653416999999990,31.563850000000002,97.000000,Sat Feb 01 12:23:24 PST 2014,12,356007050,"r","11SAND1",
13,-117.923642999999998,33.611081999999996,284.000000,Sat Feb 01 12:23:24 PST 2014,13,338864069,"r","11MXLO1",
14,-118.111118000000005,33.752191999999994,511.000000,Sat Feb 01 12:23:24 PST 2014,14,338477470,"r","11MXLO1",
15,-119.879999999999995,34.217332999999996,285.000000,Sat Feb 01 12:23:24 PST 2014,15,355908010,"r","11MXLO1",
16,-119.994692000000001,33.633922999999996,89.000000,Sat Feb 01 12:23:24 PST 2014,16,366482407,"r","11SBARB1",
17,-117.078108000000000,26.739530000000002,130.000000,Sat Feb 01 12:23:24 PST 2014,17,636738410,"r","11MXLO1",
18,-117.229652999999999,32.715334999999996,511.000000,Sat Feb 01 12:23:24 PST 2014,18,338419854,"r","11SAND1",
19,-118.215499999999992,33.603499999999997,173.000000,Sat Feb 01 12:23:24 PST 2014,2,308003408,"r","11SBARB1",
20,-118.322082999999992,33.344432999999995,511.000000,Sat Feb 01 12:23:24 PST 2014,19,367040710,"r","11MXLO1",
21,-118.215632999999997,33.747093000000007,511.000000,Sat Feb 01 12:23:24 PST 2014,20,338043872,"r","11MXLO1",
22,-117.887315000000001,33.079295000000002,325.000000,Sat Feb 01 12:23:24 PST 2014,21,367044107,"r","11SBARB1",
23,-118.216858000000002,33.746065000000002,318.000000,Sat Feb 01 12:23:24 PST 2014,22,367209376,"r","11MXLO1",
24,-118.338500000000010,32.331333000000001,40.000000,Sat Feb 01 12:23:24 PST 2014,23,371000583,"r","11MXLO1",
25,-118.260767000000001,33.731300000000005,249.000000,Sat Feb 01 12:23:24 PST 2014,24,366899048,"r","11MXLO1",
26,-117.848266999999993,33.064267000000001,330.000000,Sat Feb 01 12:23:24 PST 2014,25,311703020,"r","11MXLO1",
27,-118.278201999999993,33.740605000000002,511.000000,Sat Feb 01 12:23:24 PST 2014,26,338337790,"r","11MXLO1",
28,-118.261333000000008,33.730932999999993,249.000000,Sat Feb 01 12:23:24 PST 2014,27,366074296,"r","11SAND1",
29,-118.451506999999992,33.481575000000007,511.000000,Sat Feb 01 12:23:24 PST 2014,1,367097912,"r","11MXLO1",
30,-118.252868000000007,33.731133000000000,64.000000,Sat Feb 01 12:23:24 PST 2014,28,366570502,"r","11MXLO1",
31,-118.278103000000002,33.740196999999995,9.000000,Sat Feb 01 12:23:24 PST 2014,29,366756600,"r","11MXLO1",
32,-118.113112999999998,32.133330000000001,284.000000,Sat Feb 01 12:23:24 PST 2014,30,229020054,"r","11MXLO1",
33,-117.227082999999993,32.722650000000002,156.000000,Sat Feb 01 12:23:24 PST 2014,31,366909744,"r","11SAND1",
34,-118.274192999999997,33.729313000000005,511.000000,Sat Feb 01 12:23:24 PST 2014,32,367294029,"r","11MXLO1",
35,-118.216962999999993,33.767601999999997,511.000000,Sat Feb 01 12:23:24 PST 2014,33,367096304,"r","11MXLO1",
36,-118.322637000000000,33.346069999999997,18.000000,Sat Feb 01 12:23:24 PST 2014,34,367514088,"r","11MXLO1",
37,-117.226267000000007,32.724400000000003,128.000000,Sat Feb 01 12:23:24 PST 2014,35,367095400,"r","11SAND1",
38,-118.059783000000010,33.726617000000005,304.000000,Sat Feb 01 12:23:24 PST 2014,36,366744690,"r","11MXLO1",
39,-119.132257000000010,34.017641999999995,298.000000,Sat Feb 01 12:23:24 PST 2014,37,367290303,"r","11SAND1",
